Date,Description
"April 1, 1986","Calvin is in the doctor's office getting his arm swabbed.   He asks if the doctor is going to put a leech on it, if he's being bled, or going to amputate.  As Mom is reading a magazine, Calvin yells that the shot went through his arm.  He yells that he's dying and hopes the doctor's malpractice insurance is paid up.  Calvin calls him a quack and yells for his Mom, as she buries her face into the magazine."
"April 1, 1987","Dad comes home, and Calvin asks if he notices anything different about him.  Dad guesses a new haircut. Calvin asks if he went blind.  Calvin says he's a tiger.  Dad says he thought Calvin meant BESIDES him being a tiger.  He then tells Calvin he's tired, as Mom yells from the kitchen that she hopes Dad wants tuna for dinner."
"April 1, 1988","Sitting under a tree, Calvin asks Hobbes why they're here.  Hobbes replies that they walked there.  Calvin is referring to why they are on earth.  Hobbes tells him because earth can support life.  Calvin tries to clarify.  He wonders why they even exist.  Hobbes says because they were born.  Calvin gives up and tells Hobbes to forget it."
"April 1, 1989","Susie is angry at her desk.  She's mad at Calvin.  He didn't do his assignment, he was the one who was talking, he should be sitting up front instead of her.  As she covers her face with her hands, she thinks she wasn't doing anything wrong, but she got in trouble.  She hopes Calvin feels bad about it.  Calvin is writing Susie a note which asks her how the view is up there.  He writes that he wants her to try to steal a chalkboard eraser for him."
"April 1, 1990","Calvin is in a bad mood.  Hobbes is lying on the floor in Calvin's path.  Calvin tells him to move.  He asks if Hobbes thinks he has all day.  Hobbes slowly stands up.  Calvin says he's coming through.  He tries pushing Hobbes out of the way.  Calvin says when he says move, he expects Hobbes to jump.  He pushes Hobbes, trying to get him to move.  Hobbes picks Calvin up.  He takes him away.  Calvin demands an explanation, then sees the mud hole.  Calvin is covered in mud.  He yells ""See why I'm in such a bad mood""."
"April 1, 1991","Calvin finds his duplicate.  Calvin complains about the duplicate giving Susie a valentine.  The duplicate says she wouldn't even accept it.  He calls Calvin a jerk.  Calvin calls the duplicate a namby-pamby goody-goody.  The duplicate calls Calvin a self-centered, conniving brat.  They fight.  Hobbes asks how existential can you get."
"April 1, 1992","Hobbes lies on the ground dozing, while Calvin stands behind him.  Calvin tells a short poem about his tiger being asleep, dreaming of a sprinting sambar who'll soon be dismembered.  Calvin walks away, while Hobbes hums contentedly in his sleep."
"April 1, 1993","Calvin looks at the peanut butter jar and says it's ruined.  He says you're supposed to scoop half straight down, then dig the other side from the bottom.  Mom asks why.  Calvin says it's a ritual to keep the top of the peanut butter smooth.  She suggests he make his own sandwiches.  Calvin says if you can't control your peanut butter, you can't expect to control your life.  He asks if she cut the bread diagonally."
"April 1, 1994",Calvin catches a baseball.  It goes right through him.  He looks at the ball behind him and the hole in him.  Hobbes asks how he could miss the ball.  Calvin says he threw it too hard.
"April 1, 1995",Mom tells Susie that her mom is home and she will come pick Susie up.  Susie is relieved.  Mom angrily says she'll talk to Calvin in a few minutes.  Calvin tells Susie not to lock herself in any more closets.  Calvin and Hobbes run upstairs.  Calvin says some promotions and medals are in order.  Hobbes asks if they should get them before they get in trouble or after.
"April 10, 1986","Spaceman Spiff spies a Zarg.  He readies his blaster.  Susie turns around and warns Calvin that if he shoots her with that paper clip, she'll have him hauled to the principal's office so fast he'll think he's in a time warp.  Spiff is confounded by his jammed blaster."
"April 10, 1987","Miss Wormwood asks Calvin if he'll show the next problem on the board.  He says no and stays in his seat. Miss Wormwood asks him why not, and Calvin replies he'd rather not say.  He says it's a personal matter.  She says he'll have to do better than that.  Calvin asks if the words ""complete pandemonium"" strike terror into her heart."
"April 10, 1988","Hobbes is sleeping.  As he awakens, he notices his tail twitching.  He gets ready to pounce on it.  He leaps. Around and around Hobbes goes trying to catch his tail.  Exhausted, Hobbes lies on his back.  Calvin tells him that despite his display of cunning, reflex and physical prowess, his tail still has a death grip on his butt.  Head spinning, Hobbes asks Calvin to stop the room, he'd like to get off."
"April 10, 1989",Calvin is running through the house.  Mom finally catches him and puts him to bed.  He remembers something.  Mom sees him playing with his toys downstairs.  She asks what he thinks he's doing back down there.  Calvin replies that Mom didn't read him his rights.
"April 10, 1990","Rosalyn comes into the room.  Calvin tells her he's been there all the time.  Rosalyn tells him he snuck outside, took off his costume, and jumped in bed.  She says he's going to get it now.  Calvin thumbs his hands at Rosalyn asking what she can do since he's already in bed.  She grabs Calvin and tells him to get downstairs.  Calvin protests, saying he needs his sleep."
"April 10, 1991","Dad sits on his chair and calls Calvin the Bold.  Calvin runs in.  Dad tells him to kneel.  Calvin does.  Dad says that by the finite patience vested in him, he hereby dubs Calvin ""Mud"".  He tells Calvin to rise.  Calvin realizes his name is mud.  He walks off, grumbling that Mr. Subtlety drives home another point."
"April 10, 1992","Dad says he's going on a bike ride.  He stands with his helmet, fanny pack, and riding shorts.  Mom chuckles, and Dad asks what's so funny.  Dad says he didn't design his outfit, it's practical.  Calvin asks how he got his head stuck in a bowling ball.  Dad rides off saying, next time he's going to squirt them with his water bottle."
"April 10, 1993","Dad says he's not putting off spring cleaning.  Later, Mom sees him cleaning his bicycle.  She asks what about the house.  Dad doesn't know what she's talking about."
"April 10, 1995","Calvin looks at a test question asking the significance of the Erie Canal.  Calvin replies that ""In the cosmic sense, probably nil"".  He says ""big picture"" people like him rarely become historians."
"April 11, 1986","Mom notices Hobbes has a torn seam and gets the sewing kit to repair him.  Hobbes says it's just a little cut, and that no surgery is required.  Calvin tells Hobbes he's just getting a couple stitches and wonders what the big deal is. Hobbes informs him that Mom doesn't use any anesthetic."
"April 11, 1987","Hobbes is talking to Calvin.  He asks for clarification that Miss Wormwood didn't know he had ripped his pants, so she called on him to go to the board.  Calvin says that's right, and Hobbes asks what he did.  Calvin says he didn't have a choice, so he mooned the whole class.  Hobbes asks if that's why he's home early.  Calvin says that three teachers and the principal couldn't restore order."
"April 11, 1988","Calvin tells Dad his poll results are down again.  Calvin explains that though his recognition factor is high, scandals continue to haunt him.  Dad wonders what scandals Calvin is talking about.  Bedtimegate and Homeworkgate are mentioned.  Dad isn't worried.  He calls them instances of true leadership.  History will vindicate him.  Calvin isn't so sure and wonders what his new Dad will look like."
"April 11, 1989","Calvin runs up to Dad, telling him aliens just landed in their back yard.  Dad asks what they look like.  Calvin tells him like baked potatoes with laser guns.  Dad asks if they said what they wanted.  Calvin replies they want ten dollars.  Dad says he bets they do.  Calvin offers that since Dad is so busy, he could give the money to Calvin and he'll take it over to them."
"April 11, 1990","Mom asks Calvin if he'd like to explain what happened tonight.  He tells her he put on his pajamas at 8:00, brushed his teeth, and went straight to bed.  Mom asks about the note Rosalyn left.  Calvin says she made him write it up to get him in trouble.  He says Rosalyn hates kids.  In bed, Hobbes tells Calvin ""Nice try, Pinocchio"".   Calvin asks who would've thought Rosalyn would make him write a full confession."
"April 11, 1991","In bed at night, Calvin yells for Mom.  When she comes to his room, he asks how ugly things like octopuses and hairy bugs reproduce.  He asks if they're attracted to each other.  She yells that it's 3 AM.  She tells him to go to sleep. Later, Calvin wonders how people are attracted to each other.  Hobbes bets that's why they close their eyes when they smooch."
"April 11, 1992","Hobbes lies on the floor, while Calvin says tigers have no ambition or drive.  He asks Hobbes how he justifies himself.  Hobbes keeps lying there.  Calvin joins him, and they both lie down."
"April 11, 1993","An airliner's engines explode.  The aircraft plummets out of control.  A train jumps the tracks.  Both the jet and train are converging on one spot where the tectonic plates in the earth's crust are shifting.  At that spot is Farmer Brown, unaware of a gas leak as he lights his stove.  As he strikes the match, he glances out the window.  Calvin has a toy train and plane heading for a log cabin Hobbes is holding.  Hobbes asks if they can play something else."
"April 11, 1995","Calvin asks Dad to remember when he was first born.  He couldn't turn himself over.  He asks Dad to think of all the motor skills necessary to hold a crayon and move it in predetermined, coordinated motions.  He shows a picture of a dinosaur and indicates that is the result of six years' unrelenting effort.  Dad says he's not paying $500 for it.  Calvin implores that it will appreciate.  It's an investment."
"April 12, 1986","Hobbes sits up in bed and tells Calvin he had a peculiar dream.  Hobbes explains he dreamed he was fighting a ferocious weasel and wonders what it means.  Calvin rolls over from the covers, and we see he's all torn up.  Calvin angrily tells Hobbes it means he will be sleeping on the floor tonight and calls him a nincompoop."
"April 12, 1987","Spaceman Spiff is forced to land on planet Zok.  He surveys the landscape and goes for help.  It's obvious the planet is uninhabited.  Spiff is marooned on a lifeless planet.  Calvin looks around his classroom and sees all the empty desks. As he runs out, he wonders why no one tells him when the lunch bell rings."
"April 12, 1988","Calvin has analyzed Dad's poor poll showing.  Calvin says Dad's record in office is terrible, and the character issue is killing him.  Dad's approval rating among six-year-olds barely registers.  Calvin says Dad needs a slick ad campaign. Calvin calls it ""The New Dad""."
"April 12, 1989","Calvin is walking along with a closed umbrella.  It starts to sprinkle, and Calvin opens the umbrella.  As it's pouring, he sets the umbrella down upside down so he makes a little pool.  He happily sits in the pool."
"April 12, 1990","Calvin complains that he can't watch TV for a week.  He says they think they've won, but he'll show them.  He refuses to learn a lesson.  They can't change him.  He sits on the floor in front of the TV and says he's going to sit there all week, even though he can't turn it on."
"April 12, 1991","Calvin complains the toaster ruined his toast.  He says it didn't cook enough the first time, so he pushed it down again.  Now one side's burned, and the other is hardly singed.  Dad tells him that yet..somehow..life goes on.  Calvin looks at his toast.  He says beneath that larger perspective is a guy who doesn't want to spring for a new toaster."
"April 12, 1992","Calvin asks Susie to do him a big favor.  He asks her to go to his house, open the front door, and yell that she's home.  Susie asks why.  Calvin says it's just a dare.  Susie doesn't want to.   Calvin gives her a quarter to do it.  Calvin stands at the bottom of the steps as Susie opens the door.  He knows this is going to be great.  Susie yells ""I'm home"".  Calvin laughs that she won't know what hit her. Susie turns around and thanks Calvin for the quarter.  Calvin angrily heads for the door, wondering where Hobbes' killer instinct is.  KAPOW!  Hobbes grabs Calvin and sails off the steps.  Calvin, lying on the ground, says never trust a tiger.  Hobbes happily runs off saying he can always tell when it's Calvin by the bad smell."
"April 12, 1993","Going down the hill in the wagon, Calvin says it's a funny world.  They fly into the air.  Calvin says it's not a hilarious world.  Hobbes says ""unless you like sick humor"".  Lying smashed up on the ground, Calvin says the world is funnier to people who don't live here."
"April 12, 1995","Calvin is sitting at his desk with his eyes closed.  Miss Wormwood calls on him.  She calls again.  Still no answer, nor any eyes opened.  She puts her hands on his desk and calls his name again, loudly.  Calvin is startled awake.  He tells Miss Wormwood his eyes were on screen saver."
