date,volume,page
1985-11-18,1,22
1985-11-19,1,22
1985-11-20,1,22
1985-11-21,1,23
1985-11-22,1,23
1985-11-23,1,23
1985-11-24,1,24
1985-11-25,1,25
1985-11-26,1,25
1985-11-27,1,25
1985-11-28,1,26
1985-11-29,1,26
1985-11-30,1,26
1985-12-01,1,27
1985-12-02,1,28
1985-12-03,1,28
1985-12-04,1,28
1985-12-05,1,29
1985-12-06,1,29
1985-12-07,1,29
1985-12-08,1,30
1985-12-09,1,31
1985-12-10,1,31
1985-12-11,1,31
1985-12-12,1,32
1985-12-13,1,32
1985-12-14,1,32
1985-12-15,1,33
1985-12-16,1,34
1985-12-17,1,34
1985-12-18,1,34
1985-12-19,1,35
1985-12-20,1,35
1985-12-21,1,35
1985-12-22,1,36
1985-12-23,1,37
1985-12-24,1,37
1985-12-25,1,37
1985-12-26,1,38
1985-12-27,1,38
1985-12-28,1,38
1985-12-29,1,39
1985-12-30,1,40
1985-12-31,1,40
1986-01-01,1,40
1986-01-02,1,41
1986-01-03,1,41
1986-01-04,1,41
1986-01-05,1,42
1986-01-06,1,43
1986-01-07,1,43
1986-01-08,1,43
1986-01-09,1,44
1986-01-10,1,44
1986-01-11,1,44
1986-01-12,1,45
1986-01-13,1,46
1986-01-14,1,46
1986-01-15,1,46
1986-01-16,1,47
1986-01-17,1,47
1986-01-18,1,47
1986-01-19,1,48
1986-01-20,1,49
1986-01-21,1,49
1986-01-22,1,49
1986-01-23,1,50
1986-01-24,1,50
1986-01-25,1,50
1986-01-26,1,51
1986-01-27,1,52
1986-01-28,1,52
1986-01-29,1,52
1986-01-30,1,53
1986-01-31,1,53
1986-02-01,1,53
1986-02-02,1,54
1986-02-03,1,55
1986-02-04,1,55
1986-02-05,1,55
1986-02-06,1,56
1986-02-07,1,56
1986-02-08,1,56
1986-02-09,1,57
1986-02-10,1,58
1986-02-11,1,58
1986-02-12,1,58
1986-02-13,1,59
1986-02-14,1,59
1986-02-15,1,59
1986-02-16,1,60
1986-02-17,1,61
1986-02-18,1,61
1986-02-19,1,61
1986-02-20,1,62
1986-02-21,1,62
1986-02-22,1,62
1986-02-23,1,63
1986-02-24,1,64
1986-02-25,1,64
1986-02-26,1,64
1986-02-27,1,65
1986-02-28,1,65
1986-03-01,1,65
1986-03-02,1,66
1986-03-03,1,67
1986-03-04,1,67
1986-03-05,1,67
1986-03-06,1,68
1986-03-07,1,68
1986-03-08,1,68
1986-03-09,1,69
1986-03-10,1,70
1986-03-11,1,70
1986-03-12,1,70
1986-03-13,1,71
1986-03-14,1,71
1986-03-15,1,71
1986-03-16,1,72
1986-03-17,1,73
1986-03-18,1,73
1986-03-19,1,73
1986-03-20,1,74
1986-03-21,1,74
1986-03-22,1,74
1986-03-23,1,75
1986-03-24,1,76
1986-03-25,1,76
1986-03-26,1,76
1986-03-27,1,77
1986-03-28,1,77
1986-03-29,1,77
1986-03-30,1,78
1986-03-31,1,79
1986-04-01,1,79
1986-04-02,1,79
1986-04-03,1,80
1986-04-04,1,80
1986-04-05,1,80
1986-04-06,1,81
1986-04-07,1,82
1986-04-08,1,82
1986-04-09,1,82
1986-04-10,1,83
1986-04-11,1,83
1986-04-12,1,83
1986-04-13,1,84
1986-04-14,1,85
1986-04-15,1,85
1986-04-16,1,85
1986-04-17,1,86
1986-04-18,1,86
1986-04-19,1,86
1986-04-20,1,87
1986-04-21,1,88
1986-04-22,1,88
1986-04-23,1,88
1986-04-24,1,89
1986-04-25,1,89
1986-04-26,1,89
1986-04-27,1,90
1986-04-28,1,92
1986-04-29,1,92
1986-04-30,1,92
1986-05-01,1,93
1986-05-02,1,93
1986-05-03,1,93
1986-05-04,1,94
1986-05-05,1,95
1986-05-06,1,95
1986-05-07,1,95
1986-05-08,1,96
1986-05-09,1,96
1986-05-10,1,96
1986-05-11,1,97
1986-05-12,1,98
1986-05-13,1,98
1986-05-14,1,98
1986-05-15,1,99
1986-05-16,1,99
1986-05-17,1,99
1986-05-18,1,100
1986-05-19,1,101
1986-05-20,1,101
1986-05-21,1,101
1986-05-22,1,102
1986-05-23,1,102
1986-05-24,1,102
1986-05-25,1,103
1986-05-26,1,104
1986-05-27,1,104
1986-05-28,1,104
1986-05-29,1,105
1986-05-30,1,105
1986-05-31,1,105
1986-06-01,1,106
1986-06-02,1,107
1986-06-03,1,107
1986-06-04,1,107
1986-06-05,1,108
1986-06-06,1,108
1986-06-07,1,108
1986-06-08,1,109
1986-06-09,1,110
1986-06-10,1,110
1986-06-11,1,110
1986-06-12,1,111
1986-06-13,1,111
1986-06-14,1,111
1986-06-15,1,112
1986-06-16,1,113
1986-06-17,1,113
1986-06-18,1,113
1986-06-19,1,114
1986-06-20,1,114
1986-06-21,1,114
1986-06-22,1,115
1986-06-23,1,116
1986-06-24,1,116
1986-06-25,1,116
1986-06-26,1,117
1986-06-27,1,117
1986-06-28,1,117
1986-06-29,1,118
1986-06-30,1,119
1986-07-01,1,119
1986-07-02,1,119
1986-07-03,1,120
1986-07-04,1,120
1986-07-05,1,120
1986-07-06,1,121
1986-07-07,1,122
1986-07-08,1,122
1986-07-09,1,122
1986-07-10,1,123
1986-07-11,1,123
1986-07-12,1,123
1986-07-13,1,125
1986-07-14,1,124
1986-07-15,1,124
1986-07-16,1,124
1986-07-17,1,126
1986-07-18,1,126
1986-07-19,1,126
1986-07-20,1,130
1986-07-21,1,128
1986-07-22,1,128
1986-07-23,1,128
1986-07-24,1,129
1986-07-25,1,129
1986-07-26,1,129
1986-07-27,1,127
1986-07-28,1,132
1986-07-29,1,132
1986-07-30,1,132
1986-07-31,1,133
1986-08-01,1,133
1986-08-02,1,133
1986-08-03,1,134
1986-08-04,1,135
1986-08-05,1,135
1986-08-06,1,135
1986-08-07,1,136
1986-08-08,1,136
1986-08-09,1,136
1986-08-10,1,137
1986-08-11,1,138
1986-08-12,1,138
1986-08-13,1,138
1986-08-14,1,139
1986-08-15,1,139
1986-08-16,1,139
1986-08-17,1,140
1986-08-18,1,141
1986-08-19,1,141
1986-08-20,1,141
1986-08-21,1,142
1986-08-22,1,142
1986-08-23,1,142
1986-08-24,1,143
1986-08-25,1,144
1986-08-26,1,144
1986-08-27,1,144
1986-08-28,1,146
1986-08-29,1,146
1986-08-30,1,146
1986-08-31,1,147
1986-09-01,1,148
1986-09-02,1,148
1986-09-03,1,148
1986-09-04,1,149
1986-09-05,1,149
1986-09-06,1,149
1986-09-07,1,150
1986-09-08,1,151
1986-09-09,1,151
1986-09-10,1,151
1986-09-11,1,152
1986-09-12,1,152
1986-09-13,1,152
1986-09-14,1,153
1986-09-15,1,154
1986-09-16,1,154
1986-09-17,1,154
1986-09-18,1,155
1986-09-19,1,155
1986-09-20,1,155
1986-09-21,1,156
1986-09-22,1,158
1986-09-23,1,158
1986-09-24,1,158
1986-09-25,1,159
1986-09-26,1,159
1986-09-27,1,159
1986-09-28,1,160
1986-09-29,1,161
1986-09-30,1,161
1986-10-01,1,161
1986-10-02,1,162
1986-10-03,1,162
1986-10-04,1,162
1986-10-05,1,163
1986-10-06,1,164
1986-10-07,1,164
1986-10-08,1,164
1986-10-09,1,165
1986-10-10,1,165
1986-10-11,1,165
1986-10-12,1,166
1986-10-13,1,167
1986-10-14,1,167
1986-10-15,1,167
1986-10-16,1,168
1986-10-17,1,168
1986-10-18,1,168
1986-10-19,1,169
1986-10-20,1,170
1986-10-21,1,170
1986-10-22,1,170
1986-10-23,1,171
1986-10-24,1,171
1986-10-25,1,171
1986-10-26,1,172
1986-10-27,1,173
1986-10-28,1,173
1986-10-29,1,173
1986-10-30,1,174
1986-10-31,1,174
1986-11-01,1,174
1986-11-02,1,175
1986-11-03,1,176
1986-11-04,1,176
1986-11-05,1,176
1986-11-06,1,177
1986-11-07,1,177
1986-11-08,1,177
1986-11-09,1,178
1986-11-10,1,179
1986-11-11,1,179
1986-11-12,1,179
1986-11-13,1,180
1986-11-14,1,180
1986-11-15,1,180
1986-11-16,1,183
1986-11-17,1,181
1986-11-18,1,181
1986-11-19,1,181
1986-11-20,1,182
1986-11-21,1,182
1986-11-22,1,182
1986-11-23,1,184
1986-11-24,1,185
1986-11-25,1,185
1986-11-26,1,185
1986-11-27,1,186
1986-11-28,1,186
1986-11-29,1,186
1986-11-30,1,187
1986-12-01,1,188
1986-12-02,1,188
1986-12-03,1,188
1986-12-04,1,189
1986-12-05,1,189
1986-12-06,1,189
1986-12-07,1,190
1986-12-08,1,191
1986-12-09,1,191
1986-12-10,1,191
1986-12-11,1,192
1986-12-12,1,192
1986-12-13,1,192
1986-12-14,1,193
1986-12-15,1,194
1986-12-16,1,194
1986-12-17,1,194
1986-12-18,1,195
1986-12-19,1,195
1986-12-20,1,195
1986-12-21,1,196
1986-12-22,1,197
1986-12-23,1,197
1986-12-24,1,197
1986-12-25,1,198
1986-12-26,1,198
1986-12-27,1,198
1986-12-28,1,199
1986-12-29,1,200
1986-12-30,1,200
1986-12-31,1,200
1987-01-01,1,213
1987-01-02,1,213
1987-01-03,1,213
1987-01-04,1,214
1987-01-05,1,215
1987-01-06,1,215
1987-01-07,1,215
1987-01-08,1,216
1987-01-09,1,216
1987-01-10,1,216
1987-01-11,1,217
1987-01-12,1,218
1987-01-13,1,218
1987-01-14,1,218
1987-01-15,1,219
1987-01-16,1,219
1987-01-17,1,219
1987-01-18,1,220
1987-01-19,1,221
1987-01-20,1,221
1987-01-21,1,221
1987-01-22,1,222
1987-01-23,1,222
1987-01-24,1,222
1987-01-25,1,225
1987-01-26,1,223
1987-01-27,1,223
1987-01-28,1,223
1987-01-29,1,224
1987-01-30,1,224
1987-01-31,1,224
1987-02-01,1,226
1987-02-02,1,227
1987-02-03,1,227
1987-02-04,1,227
1987-02-05,1,228
1987-02-06,1,228
1987-02-07,1,228
1987-02-08,1,229
1987-02-09,1,230
1987-02-10,1,230
1987-02-11,1,230
1987-02-12,1,231
1987-02-13,1,231
1987-02-14,1,231
1987-02-15,1,232
1987-02-16,1,233
1987-02-17,1,233
1987-02-18,1,233
1987-02-19,1,234
1987-02-20,1,234
1987-02-21,1,234
1987-02-22,1,235
1987-02-23,1,236
1987-02-24,1,236
1987-02-25,1,236
1987-02-26,1,237
1987-02-27,1,237
1987-02-28,1,237
1987-03-01,1,238
1987-03-02,1,239
1987-03-03,1,239
1987-03-04,1,239
1987-03-05,1,240
1987-03-06,1,240
1987-03-07,1,240
1987-03-08,1,241
1987-03-09,1,242
1987-03-10,1,242
1987-03-11,1,242
1987-03-12,1,243
1987-03-13,1,243
1987-03-14,1,243
1987-03-15,1,245
1987-03-16,1,244
1987-03-17,1,244
1987-03-18,1,244
1987-03-19,1,246
1987-03-20,1,246
1987-03-21,1,246
1987-03-22,1,247
1987-03-23,1,248
1987-03-24,1,248
1987-03-25,1,248
1987-03-26,1,249
1987-03-27,1,249
1987-03-28,1,249
1987-03-29,1,252
1987-03-30,1,250
1987-03-31,1,250
1987-04-01,1,250
1987-04-02,1,251
1987-04-03,1,251
1987-04-04,1,251
1987-04-05,1,253
1987-04-06,1,254
1987-04-07,1,254
1987-04-08,1,254
1987-04-09,1,255
1987-04-10,1,255
1987-04-11,1,255
1987-04-12,1,256
1987-04-13,1,257
1987-04-14,1,257
1987-04-15,1,257
1987-04-16,1,258
1987-04-17,1,258
1987-04-18,1,258
1987-04-19,1,259
1987-04-20,1,260
1987-04-21,1,260
1987-04-22,1,260
1987-04-23,1,261
1987-04-24,1,261
1987-04-25,1,261
1987-04-26,1,262
1987-04-27,1,263
1987-04-28,1,263
1987-04-29,1,263
1987-04-30,1,264
1987-05-01,1,264
1987-05-02,1,264
1987-05-03,1,266
1987-05-04,1,267
1987-05-05,1,267
1987-05-06,1,267
1987-05-07,1,270
1987-05-08,1,270
1987-05-09,1,270
1987-05-10,1,268
1987-05-11,1,271
1987-05-12,1,271
1987-05-13,1,271
1987-05-14,1,272
1987-05-15,1,272
1987-05-16,1,272
1987-05-17,1,275
1987-05-18,1,273
1987-05-19,1,273
1987-05-20,1,273
1987-05-21,1,274
1987-05-22,1,274
1987-05-23,1,274
1987-05-24,1,276
1987-05-25,1,277
1987-05-26,1,277
1987-05-27,1,277
1987-05-28,1,278
1987-05-29,1,278
1987-05-30,1,278
1987-05-31,1,279
1987-06-01,1,280
1987-06-02,1,280
1987-06-03,1,280
1987-06-04,1,281
1987-06-05,1,281
1987-06-06,1,281
1987-06-07,1,282
1987-06-08,1,283
1987-06-09,1,283
1987-06-10,1,283
1987-06-11,1,284
1987-06-12,1,284
1987-06-13,1,284
1987-06-14,1,285
1987-06-15,1,286
1987-06-16,1,286
1987-06-17,1,286
1987-06-18,1,287
1987-06-19,1,287
1987-06-20,1,287
1987-06-21,1,288
1987-06-22,1,289
1987-06-23,1,289
1987-06-24,1,289
1987-06-25,1,290
1987-06-26,1,290
1987-06-27,1,290
1987-06-28,1,291
1987-06-29,1,292
1987-06-30,1,292
1987-07-01,1,292
1987-07-02,1,293
1987-07-03,1,293
1987-07-04,1,293
1987-07-05,1,294
1987-07-06,1,295
1987-07-07,1,295
1987-07-08,1,295
1987-07-09,1,296
1987-07-10,1,296
1987-07-11,1,296
1987-07-12,1,297
1987-07-13,1,298
1987-07-14,1,298
1987-07-15,1,298
1987-07-16,1,299
1987-07-17,1,299
1987-07-18,1,299
1987-07-19,1,300
1987-07-20,1,301
1987-07-21,1,301
1987-07-22,1,301
1987-07-23,1,302
1987-07-24,1,302
1987-07-25,1,302
1987-07-26,1,303
1987-07-27,1,304
1987-07-28,1,304
1987-07-29,1,304
1987-07-30,1,305
1987-07-31,1,305
1987-08-01,1,305
1987-08-02,1,306
1987-08-03,1,307
1987-08-04,1,307
1987-08-05,1,307
1987-08-06,1,308
1987-08-07,1,308
1987-08-08,1,308
1987-08-09,1,309
1987-08-10,1,310
1987-08-11,1,310
1987-08-12,1,310
1987-08-13,1,311
1987-08-14,1,311
1987-08-15,1,311
1987-08-16,1,312
1987-08-17,1,313
1987-08-18,1,313
1987-08-19,1,313
1987-08-20,1,314
1987-08-21,1,314
1987-08-22,1,314
1987-08-23,1,315
1987-08-24,1,316
1987-08-25,1,316
1987-08-26,1,316
1987-08-27,1,317
1987-08-28,1,317
1987-08-29,1,317
1987-08-30,1,318
1987-08-31,1,319
1987-09-01,1,319
1987-09-02,1,319
1987-09-03,1,320
1987-09-04,1,320
1987-09-05,1,320
1987-09-06,1,323
1987-09-07,1,321
1987-09-08,1,321
1987-09-09,1,321
1987-09-10,1,322
1987-09-11,1,322
1987-09-12,1,322
1987-09-13,1,324
1987-09-14,1,326
1987-09-15,1,326
1987-09-16,1,326
1987-09-17,1,327
1987-09-18,1,327
1987-09-19,1,327
1987-09-20,1,328
1987-09-21,1,329
1987-09-22,1,329
1987-09-23,1,329
1987-09-24,1,330
1987-09-25,1,330
1987-09-26,1,330
1987-09-27,1,331
1987-09-28,1,332
1987-09-29,1,332
1987-09-30,1,332
1987-10-01,1,334
1987-10-02,1,334
1987-10-03,1,334
1987-10-04,1,335
1987-10-05,1,336
1987-10-06,1,336
1987-10-07,1,336
1987-10-08,1,337
1987-10-09,1,337
1987-10-10,1,337
1987-10-11,1,338
1987-10-12,1,339
1987-10-13,1,339
1987-10-14,1,339
1987-10-15,1,340
1987-10-16,1,340
1987-10-17,1,340
1987-10-18,1,341
1987-10-19,1,342
1987-10-20,1,342
1987-10-21,1,342
1987-10-22,1,343
1987-10-23,1,343
1987-10-24,1,343
1987-10-25,1,344
1987-10-26,1,345
1987-10-27,1,345
1987-10-28,1,345
1987-10-29,1,346
1987-10-30,1,346
1987-10-31,1,346
1987-11-01,1,347
1987-11-02,1,348
1987-11-03,1,348
1987-11-04,1,348
1987-11-05,1,349
1987-11-06,1,349
1987-11-07,1,349
1987-11-08,1,350
1987-11-09,1,351
1987-11-10,1,351
1987-11-11,1,351
1987-11-12,1,352
1987-11-13,1,352
1987-11-14,1,352
1987-11-15,1,353
1987-11-16,1,354
1987-11-17,1,354
1987-11-18,1,354
1987-11-19,1,355
1987-11-20,1,355
1987-11-21,1,355
1987-11-22,1,356
1987-11-23,1,357
1987-11-24,1,357
1987-11-25,1,357
1987-11-26,1,358
1987-11-27,1,358
1987-11-28,1,358
1987-11-29,1,359
1987-11-30,2,6
1987-12-01,2,6
1987-12-02,2,6
1987-12-03,2,7
1987-12-04,2,7
1987-12-05,2,7
1987-12-06,2,8
1987-12-07,2,9
1987-12-08,2,9
1987-12-09,2,9
1987-12-10,2,10
1987-12-11,2,10
1987-12-12,2,10
1987-12-13,2,11
1987-12-14,2,12
1987-12-15,2,12
1987-12-16,2,12
1987-12-17,2,13
1987-12-18,2,13
1987-12-19,2,13
1987-12-20,2,14
1987-12-21,2,15
1987-12-22,2,15
1987-12-23,2,15
1987-12-24,2,16
1987-12-25,2,16
1987-12-26,2,16
1987-12-27,2,17
1987-12-28,2,18
1987-12-29,2,18
1987-12-30,2,18
1987-12-31,2,19
1988-01-01,2,19
1988-01-02,2,19
1988-01-03,2,20
1988-01-04,2,21
1988-01-05,2,21
1988-01-06,2,21
