date,book,page
1985-11-18,Calvin and Hobbes,6
1985-11-18,The Essential Calvin and Hobbes,19
1985-11-18,The Calvin and Hobbes Tenth Anniversary Book,29
1985-11-19,Calvin and Hobbes,6
1985-11-19,The Essential Calvin and Hobbes,19
1985-11-20,Calvin and Hobbes,6
1985-11-20,The Essential Calvin and Hobbes,19
1985-11-21,Calvin and Hobbes,7
1985-11-21,The Essential Calvin and Hobbes,20
1985-11-22,Calvin and Hobbes,7
1985-11-22,The Essential Calvin and Hobbes,20
1985-11-23,Calvin and Hobbes,7
1985-11-23,The Essential Calvin and Hobbes,20
1985-11-24,Calvin and Hobbes,8
1985-11-24,The Essential Calvin and Hobbes,21
1985-11-25,Calvin and Hobbes,9
1985-11-25,The Essential Calvin and Hobbes,22
1985-11-26,Calvin and Hobbes,9
1985-11-26,The Essential Calvin and Hobbes,22
1985-11-27,Calvin and Hobbes,9
1985-11-27,The Essential Calvin and Hobbes,22
1985-11-28,Calvin and Hobbes,10
1985-11-28,The Essential Calvin and Hobbes,23
1985-11-29,Calvin and Hobbes,10
1985-11-29,The Essential Calvin and Hobbes,23
1985-11-30,Calvin and Hobbes,10
1985-11-30,The Essential Calvin and Hobbes,23
1985-12-01,Calvin and Hobbes,11
1985-12-01,The Essential Calvin and Hobbes,24
1985-12-02,Calvin and Hobbes,12
1985-12-02,The Essential Calvin and Hobbes,25
1985-12-03,Calvin and Hobbes,12
1985-12-03,The Essential Calvin and Hobbes,25
1985-12-04,Calvin and Hobbes,12
1985-12-04,The Essential Calvin and Hobbes,25
1985-12-05,Calvin and Hobbes,13
1985-12-05,The Essential Calvin and Hobbes,26
1985-12-06,Calvin and Hobbes,13
1985-12-06,The Essential Calvin and Hobbes,26
1985-12-07,Calvin and Hobbes,13
1985-12-07,The Essential Calvin and Hobbes,26
1985-12-08,Calvin and Hobbes,14
1985-12-08,The Essential Calvin and Hobbes,27
1985-12-09,Calvin and Hobbes,15
1985-12-09,The Essential Calvin and Hobbes,28
1985-12-09,The Calvin and Hobbes Tenth Anniversary Book,32
1985-12-10,Calvin and Hobbes,15
1985-12-10,The Essential Calvin and Hobbes,28
1985-12-11,Calvin and Hobbes,16
1985-12-11,The Essential Calvin and Hobbes,28
1985-12-12,Calvin and Hobbes,16
1985-12-12,The Essential Calvin and Hobbes,29
1985-12-13,Calvin and Hobbes,17
1985-12-13,The Essential Calvin and Hobbes,29
1985-12-14,Calvin and Hobbes,17
1985-12-14,The Essential Calvin and Hobbes,29
1985-12-15,Calvin and Hobbes,18
1985-12-15,The Essential Calvin and Hobbes,30
1985-12-16,Calvin and Hobbes,19
1985-12-16,The Essential Calvin and Hobbes,31
1985-12-17,Calvin and Hobbes,19
1985-12-17,The Essential Calvin and Hobbes,31
1985-12-18,Calvin and Hobbes,19
1985-12-18,The Essential Calvin and Hobbes,31
1985-12-19,Calvin and Hobbes,20
1985-12-19,The Essential Calvin and Hobbes,32
1985-12-20,Calvin and Hobbes,20
1985-12-20,The Essential Calvin and Hobbes,32
1985-12-21,Calvin and Hobbes,20
1985-12-21,The Essential Calvin and Hobbes,32
1985-12-22,Calvin and Hobbes,21
1985-12-22,The Essential Calvin and Hobbes,33
1985-12-23,Calvin and Hobbes,22
1985-12-23,The Essential Calvin and Hobbes,34
1985-12-24,Calvin and Hobbes,22
1985-12-24,The Essential Calvin and Hobbes,34
1985-12-25,Calvin and Hobbes,22
1985-12-25,The Essential Calvin and Hobbes,34
1985-12-26,Calvin and Hobbes,23
1985-12-26,The Essential Calvin and Hobbes,35
1985-12-27,Calvin and Hobbes,23
1985-12-27,The Essential Calvin and Hobbes,35
1985-12-28,Calvin and Hobbes,23
1985-12-28,The Essential Calvin and Hobbes,35
1985-12-29,Calvin and Hobbes: Sunday Pages 1985-1995,22
1985-12-29,Calvin and Hobbes: Sunday Pages 1985-1995,23
1985-12-29,Calvin and Hobbes,24
1985-12-29,The Essential Calvin and Hobbes,36
1985-12-30,Calvin and Hobbes,25
1985-12-30,The Essential Calvin and Hobbes,37
1985-12-31,Calvin and Hobbes,25
1985-12-31,The Essential Calvin and Hobbes,37
1986-01-01,Calvin and Hobbes,25
1986-01-01,The Essential Calvin and Hobbes,37
1986-01-02,Calvin and Hobbes,26
1986-01-02,The Essential Calvin and Hobbes,38
1986-01-03,Calvin and Hobbes,26
1986-01-03,The Essential Calvin and Hobbes,38
1986-01-04,Calvin and Hobbes,26
1986-01-04,The Essential Calvin and Hobbes,38
1986-01-05,Calvin and Hobbes,27
1986-01-05,The Essential Calvin and Hobbes,39
1986-01-06,Calvin and Hobbes,28
1986-01-06,The Essential Calvin and Hobbes,40
1986-01-07,Calvin and Hobbes,28
1986-01-07,The Essential Calvin and Hobbes,40
1986-01-08,Calvin and Hobbes,28
1986-01-08,The Essential Calvin and Hobbes,40
1986-01-09,Calvin and Hobbes,29
1986-01-09,The Essential Calvin and Hobbes,41
1986-01-10,Calvin and Hobbes,29
1986-01-10,The Essential Calvin and Hobbes,41
